Open,High,Low,Close,Adj Close,Volume
8575.0,8600.0,8500.0,8550.0,8382.4501953125,10653900
8550.0,8600.0,8525.0,8550.0,8382.4501953125,27399100
8525.0,8575.0,8350.0,8350.0,8186.369140625,90918800
8350.0,8375.0,8150.0,8250.0,8088.32861328125,128838500
8100.0,8325.0,8100.0,8300.0,8137.34912109375,69286600
8325.0,8450.0,8325.0,8450.0,8284.4091796875,86916900
8400.0,8425.0,8150.0,8175.0,8014.79833984375,101759100
8050.0,8150.0,8000.0,8125.0,7965.7783203125,96069100
8150.0,8275.0,8125.0,8175.0,8014.79833984375,103804600
8150.0,8175.0,8025.0,8050.0,7892.248046875,119748200
8050.0,8200.0,8050.0,8150.0,7990.28857421875,105710700
8175.0,8375.0,8150.0,8325.0,8161.85888671875,88695900
8200.0,8325.0,8175.0,8300.0,8137.34912109375,96814600
8350.0,8350.0,8250.0,8325.0,8161.85888671875,66391800
8275.0,8325.0,8250.0,8300.0,8137.34912109375,96859500
8300.0,8350.0,8225.0,8225.0,8063.81884765625,42474500
8300.0,8300.0,8200.0,8200.0,8039.30859375,66124500
8225.0,8475.0,8225.0,8475.0,8308.919921875,77582300
8700.0,8850.0,8550.0,8700.0,8529.5107421875,196804700
8725.0,8775.0,8575.0,8700.0,8529.5107421875,68544300
8625.0,8675.0,8475.0,8475.0,8308.919921875,200589000
8575.0,8575.0,8450.0,8500.0,8333.4296875,77396200
8425.0,8525.0,8400.0,8450.0,8284.4091796875,99109500
8550.0,8700.0,8500.0,8700.0,8529.5107421875,71716700
8750.0,8750.0,8650.0,8725.0,8554.0205078125,117757700
8775.0,8850.0,8750.0,8850.0,8676.5712890625,116014700
8825.0,8850.0,8800.0,8825.0,8652.060546875,54495500
8825.0,8900.0,8800.0,8900.0,8725.5908203125,72381700
8875.0,8900.0,8700.0,8825.0,8652.060546875,62060900
8875.0,8900.0,8775.0,8875.0,8701.0810546875,63775000
8850.0,8950.0,8825.0,8950.0,8774.611328125,81678200
8875.0,8900.0,8750.0,8875.0,8701.0810546875,38037000
8825.0,8850.0,8700.0,8700.0,8529.5107421875,66040400
8775.0,8850.0,8725.0,8725.0,8554.0205078125,43588900
8725.0,8825.0,8700.0,8750.0,8578.5302734375,40077000
8775.0,8800.0,8700.0,8700.0,8529.5107421875,25390500
8700.0,8750.0,8625.0,8675.0,8505.0,38671900
8625.0,8750.0,8625.0,8725.0,8554.0205078125,53412300
8775.0,8850.0,8675.0,8675.0,8505.0,44123400
8675.0,8775.0,8650.0,8775.0,8603.041015625,59983900
8775.0,8775.0,8675.0,8750.0,8578.5302734375,106349400
8725.0,8750.0,8600.0,8600.0,8431.4697265625,67034700
8600.0,8700.0,8600.0,8625.0,8455.98046875,56672000
8650.0,8675.0,8475.0,8475.0,8308.919921875,95376900
8550.0,8550.0,8400.0,8400.0,8235.3896484375,92652000
8350.0,8475.0,8350.0,8425.0,8259.8994140625,106115600
8400.0,8575.0,8400.0,8575.0,8406.9599609375,79350900
8650.0,8650.0,8550.0,8575.0,8406.9599609375,54201400
8500.0,8550.0,8450.0,8450.0,8284.4091796875,59580100
8450.0,8625.0,8450.0,8550.0,8382.4501953125,82077700
8425.0,8475.0,8325.0,8325.0,8161.85888671875,90495300
8450.0,8475.0,8325.0,8325.0,8161.85888671875,86747400
8300.0,8350.0,8250.0,8300.0,8137.34912109375,105894000
8375.0,8450.0,8325.0,8375.0,8210.87890625,198558600
8400.0,8475.0,8375.0,8400.0,8235.3896484375,37277900
8400.0,8500.0,8375.0,8500.0,8333.4296875,91617400
8700.0,8825.0,8625.0,8825.0,8652.060546875,145603600
8825.0,8825.0,8700.0,8700.0,8529.5107421875,110692800
8800.0,8800.0,8675.0,8675.0,8505.0,98296600
8675.0,8800.0,8625.0,8800.0,8800.0,101068200
8900.0,8900.0,8800.0,8825.0,8825.0,118912100
8825.0,8850.0,8725.0,8750.0,8750.0,97146900
